Tablo 1
Firma;Konum;Pozisyon;çalışma şekli;Tarih
KUZEY GLOBAL YAZILIM DANIŞMANLIK VE ARGE A.Ş.;Kocaeli;Yazılım Mühendisi;Uzaktan / Remote;2024
Sistaş Sayısal İletişim San. ve Tic. A.Ş.;İzmir;Yazılım Geliştirme Uzmanı;İş Yerinde;2023
SCS Bina Otomasyon  Mühendislik ve Tesisat Ltd.Sti;İstanbul;Bina Otomasyon Yazılım Sorumlusu;İş Yerinde;2022
Sektöründe Lider Firma;Kocaeli;Yazılım Uzmanı;İş Yerinde;2024
Hidropar Hareket Kontrol Teknolojileri Merkezi;Ankara;Yazılım Mühendisi;İş Yerinde;2021
Muzer Makina Sanayi;Kocaeli;Software Engineer;İş Yerinde;2024
Nist Group;Ankara;Back-End Developer;Hibrit;2024
Mahrek Teknoloji A.Ş;İstanbul;Senıor Backend Developer;İş Yerinde;2021
Hayhay Elektronik Para ve Ödeme Hizmetleri A.Ş;İstanbul;Mid-Level Back-End Developer;İş Yerinde;2023
DiNAMiK BILGI TEKNOLOJiLERi ANONiM ŞiRKETi;İstanbul;Senior Backend Developer;Hibrit;2021
TOR Holding;İstanbul;Back-End Geliştirici;Hibrit;2023
Gizli Firma;İstanbul;Back-End Developer;İş Yerinde;2024
Sabanci Üniversitesi;İstanbul;Yazılım Mühendisi (Front-End);Hibrit;2023
Mirsis Bilgi Teknolojileri A.Ş.;Ankara;Java Yazılım Mühendisi;Hibrit;2022
ENOCA BİLGİ TEKNOLOJİLERİ VE DANIŞMANLIKLTD.ŞTİ.;Ankara;Java Uygulama Geliştirme Uzmanı;Hibrit;2024
Pointo Teknoloji A.Ş.;İstanbul;.Net Yazılım Mühendisi;Hibrit;2023
Fotec Enerji Teknolojileri A.Ş;Ankara;Gömülü Sistem Yazılım Mühendisi;İş Yerinde;2022
ATEL TEKNOLOJİ VE SAVUNMA SANAYİ A.Ş.;İstanbul;Uzman Gömülü Yazılım Mühendisi;İş Yerinde;2023
DUALUS TEKN. ELEKT. EĞT. MÜH. ARAŞ. MAK. İLET. ENERJİ SAN. VE TİC.LTD. ŞTİ.;Tekirdağ;Gömülü Yazılım Geliştirici;İş Yerinde;2023
Makel Elektrik Malzemeleri;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2022
INNOVATIC MÜHENDİSLİK A.Ş.;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2023
WeHire;İstanbul;DevOps Uzmanı;Hibrit;2022
Bias Mühendislik;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2024
Eska Valve A.Ş;Sakarya;Gömülü Yazılım Mühendisi;İş Yerinde;2023
FEMSAN ELEKTRİK MOTORLARI SANAYİ VE TİCARET A.Ş.;İstanbul;Uzman Gömülü Yazılım Mühendisi;İş Yerinde;2024
Ante Grup Bilişim Ticaret A.Ş.;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2024
SEKİZA SAVUNMA HAVACILIK VE UZAY TEK.İM.YAZ.TELEK.ARAŞ.GEL.SAN.VE TİC.A.Ş.;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2023
DÖNMEZOĞLU İÇ VE DIŞ TİCARET YATIRIM A.Ş.;İstanbul ;Gömülü Yazılım Mühendisi;İş Yerinde;2022
Gizli Firma;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2021
Industrial Application Software;İstanbul ;ERP Software Developer;İş Yerinde;2021
NTT Data Business Solutions Türkiye;İstanbul;Frontend Developer;İş Yerinde;2024
ES KARİYER DANIŞMANLIK;Ankara;Araç Geliştirme Yazılım Mühendisi;İş Yerinde;2024
TEI-Tusaş Motor Sanayii A.Ş.;İstanbul;Yazılım Geliştirme Mühendisi;İş Yerinde;2021
Federal-Mogul Powertrain Otomotiv A.Ş.;Kocaeli;Javascript Developer;Hibrit;2021
NOVACON BİLİŞİM DANIŞMANLIK VE DIŞ TİCARET LİMİTED ŞİRKETİ;İstanbul;Full-Stack Uygulama Geliştirici;Hibrit;2023
Lotec Teknoloji Ltd. Şti;Ankara;Full Stack Developer (Remote);İş Yerinde;2024
CII Bilgi ve Danışmanlık Hizmetleri A.Ş.;Bursa;Yazılım Kıdemli Uzmanı;Uzaktan / Remote;2024
Martur Automotive Seating Systems;Ankara;Yazılım Geliştirme Mühendisi;İş Yerinde;2024
MKV ULUSLARARASI DANIŞMANLIK EĞİTİM HİZMETLERİ VE TİCARET LİMİTED ŞİRKETİ;İstanbul;Yazılım Uzmanı;Hibrit;2021
İLİM TURİZM;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
Dünya Varlık Yönetim A.Ş.;Ankara;Full-Stack .Net Kıdemli Yazılım Uzmanı;İş Yerinde;2023
ZİRVEDEKİ BEYİNLER;Antalya;Delphı Yazılım Uzmanı;İş Yerinde;2021
SAN Tourism Software Group;Ankara;Yazılım Uzmanı;İş Yerinde;2024
Datateam Bilgi Teknolojileri Ltd. Şti.;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
HOTİÇ AYAKKABI SAN.TİC.AŞ;Tekirdağ;Full Stack Developer;İş Yerinde;2021
MUBEA AVIATION HAVACILIK SANAYİ VE TİCARET A.Ş;İstanbul;Yazılım Uzmanı(Winforms);İş Yerinde;2022
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Uzmanı(Web);Hibrit;2023
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Uzmanı (.Net);Hibrit;2022
CARETTA YAZILIM VE DANIŞMANLIK HİZM.LTD.ŞTİ.;İzmir;Yazılım Uzmanı;Uzaktan / Remote;2024
Koton;Bursa;GTech Finansal Teknolojiler Akademisi;Hibrit;2022
G Teknoloji Bilişim San. ve Tic. A.Ş.;Bursa;Yazılım Uzmanı;Uzaktan / Remote;2022
Altınyıldız Classics;İstanbul;Yapay Zeka Yazılım Uzmanı;İş Yerinde;2024
Özdilek Holding;İstanbul;Backend Yazılım Uzmanı;İş Yerinde;2024
ÖZDİLEK ALIŞVERİŞ MERKEZLERİ VE TEKSTİL SAN.A.Ş.;İstanbul;Yazılım Uzmanı;İş Yerinde;2022
İçdaş Çelik Enerji Tersane ve Ulaşım San. A.Ş.;İstanbul;.Net Yazılım Uzmanı;İş Yerinde;2024
Türkiye Finans Katılım Bankası;İstanbul;Yazılım Uzmanı;Hibrit;2023
M.N.B.OTO KİRALAMA VE NAKLİYAT TİCARET ANONİM ŞİRKETİ;İstanbul;Content Protection Specialist;İş Yerinde;2022
DIGITURK;İstanbul;CRM Çözümleri Yazılım Uzmanı;İş Yerinde;2022
DIGITURK;İstanbul;Yazılım Uzmanı;İş Yerinde;2022
Sertrans Uluslararası Nakliyat ve Tic. A.Ş;Kocaeli;Yazılım Uzmanı;İş Yerinde;2023
MOBİLTEL İLETİŞİM HİZMETLERİ SAN. VE TİC. A.Ş.;İstanbul;Yazılım Uzmanı;İş Yerinde;2023
Başbuğ Holding;İstanbul;Yazılım Uzmanı;Hibrit;2023
Beta Kimya Sanayi ve Ticaret A.Ş.;Ankara;Canias Senior Developer;İş Yerinde;2023
Konyalı Saat;Kocaeli;Yazılım Uzmanı;İş Yerinde;2021
Koel Elektronik A.Ş.;İstanbul;Yazılım Uzmanı;İş Yerinde;2024
ÖNDER SÖKEN DYNOBİL OTO EKSPERTİZ;Aydın;Yazılım Uzmanı;İş Yerinde;2022
Tezcan Galvanizli Yapı Elemanları San. ve Tic. A.Ş;Ankara;Yazılım Uzmanı;İş Yerinde;2023
Neutec;İstanbul;Yazılım Uzmanı;İş Yerinde;2024
Kırlıoğlu Tarımsal Ürün. Gıda İnş. A.Ş.;Malatya;Yazılım Uzmanı;İş Yerinde;2022
WeHire;İstanbul;DevOps Uzmanı;Hibrit;2023
Netlog Lojistik Hizmetleri A.Ş.;İstanbul;Yazılım Uzmanı;İş Yerinde;2023
BİLİN YAZILIM VE BİLİŞİM DANIŞMANLIĞI A.Ş.;İstanbul;Yazılım Uzmanı;Hibrit;2024
ELDA HALI TEKSTİL SAN.TİC.A.Ş.;Kayseri;Yazılım Geliştirme ve Veri Analisti Uzmanı;İş Yerinde;2022
WİPELOT TEKNOLOJİ SANAYİ ANONİM ŞİRKETİ;İstanbul;Yazılım Geliştirme Mühendisi;Hibrit;2023
Aksigorta;İstanbul;Kıdemli Yazılım Mühendisi - Java;İş Yerinde;2022
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;Oracle PL/SQL Developer;Uzaktan / Remote;2024
Eresense Elektronik San. Tic. Ltd. Şti;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
OPTİİM İŞ ÇÖZÜMLERİ A.Ş;İstanbul;Tecrübeli C# Yazılım Uzmanı;Uzaktan / Remote;2022
Sektöründe Öncü Firma;Ankara;Yazılım Uzmanı / Kıdemli Uzmanı;Hibrit;2023
FİRMANET YAZILIM VE TEKNOLOJİ A.Ş.;İstanbul;Yazılım Uzmanı (ERP Modül Geliştirici);Uzaktan / Remote;2021
ALTUR TURİZM SERVİS VE TİCARET LTD.ŞTİ;İstanbul;Backend Developer;İş Yerinde;2024
NOKSEL ÇELİK BORU SAN.A.Ş.;İstanbul;Yazılım Uzmanı;İş Yerinde;2023
PROVISION;İstanbul ;Ödeme Sistemleri Yazılım Uzmanı;İş Yerinde;2022
T.C. İSTANBUL AYDIN ÜNİVERSİTESİ;İstanbul;Yazılım Uzmanı;İş Yerinde;2022
TECHNE BİLİŞİM VE TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;Yazılım Uzmanı- Mid Level;Hibrit;2024
Percon Bilişim Çözümleri ve Danışmanlık A.Ş.;İstanbul;Yazılım Uzmanı;Hibrit;2022
DEVA Holding A.Ş.;Ankara;SAP Uzmanı;İş Yerinde;2024
Elnur Gayrimenkul ve Yazılım Ticaret Limited Şirketi;İstanbul;Yazılım Uzmanı;Uzaktan / Remote;2024
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;Ankara;Software Architect;İş Yerinde;2022
Asis;Ankara;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2023
MAREN ROBOTICS;İzmir;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2024
ERNA MAŞ MAKİNA TİCARET VE SANAYİ A.Ş;Ankara;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2022
ASİSGUARD SAVUNMA SANAYİ TİCARET ANONİM ŞİRKETİ;Ankara;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2021
LİNKAS TEKNOLOJİ SANAYİ TİCARET A.Ş;Ankara;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2024
VOLT TEKNOLOJİ GELİŞTİRME VE MÜHENDİSLİK A.Ş.;Ankara;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2021
Manas Enerji Yönetimi San. ve Tic. A.Ş.;İstanbul;Senior Software Engineer (C#/Wpf);İş Yerinde;2024
Rencons;İstanbul;Senior Java Software Engineer;Uzaktan / Remote;2022
PTTEM TEKNOLOJİ VE ELEKTRONİK A.Ş.;Ankara;Kıdemli Yazılım Mühendisi;Hibrit;2024
MAREN ROBOTICS;Kocaeli;Kıdemli Yazılım Tasarım Mühendisi;İş Yerinde;2024
ELEKON ENERJİ SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Senior Software Engineer;İş Yerinde;2023
AVL Araştırma ve Mühendislik;Ankara;Kıdemli Yazılım Mühendisi (Back-End);İş Yerinde;2023
Sompo Sigorta A.Ş.;İzmir;Kıdemli Java Yazılım Mühendisi;Hibrit;2024
SmartICT Bilişim A.Ş;İstanbul;Kıdemli Yazılım Mühendisi;İş Yerinde;2024
BLUETECH TEKNOLOJİ SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ;İstanbul;Senior Java Developer;İş Yerinde;2021
LİNKTERA BİLGİ TEKNOLOJİLERİ A.Ş.;İzmir;Kıdemli Yazılım Mühendisi;Uzaktan / Remote;2021
OPTİMUS SOLUTİONS TEKNOLOJİ ÜRETİM SANAYİ TİCARET ANONİM ŞİRKETİ;İstanbul;Senior Full Stack Software Engineer;İş Yerinde;2022
ÜSTÜNOVA MÜHENDİSLİK VE ARAŞTIRMA GELİŞTİRME ANONİM ŞİRKETİ;İstanbul;Kıdemli Yazılım Mühendisi;Hibrit;2023
Hİ7 YAZILIM BİLİŞİM LOJİSTİK AŞ;İstanbul ;C# Software Engineer (M/F/D) - Senior;Uzaktan / Remote;2024
ICS Turkey İnformatik Danışmanlık Çözümleri Ltd.;İstanbul;Yazılım Sistemleri Uzmanı;Hibrit;2023
Gizli Firma;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2023
ECHO Yönetim ve Bilişim Hizmetleri  A.Ş.;İstanbul;Yazılım Geliştirme Uzmanı;Hibrit;2024
Aytaş Gıda;İstanbul;Yazılım Geliştirme Uzmanı (Hybrid);İş Yerinde;2024
WeHire;İstanbul;DevOps Uzmanı;Hibrit;2021
Turkuvaz  Haberleşme ve Yayıncılık A.Ş;İstanbul;Yazılım Geliştirme Uzmanı (Backend);İş Yerinde;2022
CANTEK SOĞUTMA A.Ş.;Antalya;Yazılım Geliştirme Uzmanı;İş Yerinde;2023
Lokman Hekim Sağlık Grubu;Ankara;Yazılım Geliştirme Uzmanı;İş Yerinde;2024
Finartz Bilgi Teknolojileri A.Ş.;İstanbul;Mıd-Junior Wordpress Developer (Elementor);Uzaktan / Remote;2022
GERHAU AKILLI YAŞAM GEREÇLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;Ankara;.Net Developer (Banka & Finans);İş Yerinde;2022
ITEMCO TEKNOLOJİ DANIŞMANLIK ANONİM ŞİRKETİ;İstanbul;Senior Backend Developer (Techcareer.Net);Uzaktan / Remote;2021
Kariyer.net;İstanbul;Yazılım Geliştirme Uzmanı;Uzaktan / Remote;2021
DİA YAZILIM SAN.VE TİC.A.Ş.;İstanbul;Software Development Specialist;İş Yerinde;2023
YILDIRIM HOLDİNG A.Ş.;Bursa;Developer;İş Yerinde;2022
Madame Coco;Manisa;Yazılım Geliştirme Uzmanı;Hibrit;2024
Ünsped Gümrük Müşavirliği ve Lojistik Hizmetler A.Ş;İstanbul;Senior Back End Developer;Hibrit;2021
Bluemint Mağazacılık A.Ş.;İstanbul;SAP Yazılım Geliştirme Uzmanı;Uzaktan / Remote;2023
Borçelik;Antalya;Dijital Strateji ve Dönüşüm Mühendisi;İş Yerinde;2022
Polinas;İstanbul;.Net Yazılım Geliştirme Uzmanı;Hibrit;2024
Vizyoneks Bilgi Teknolojileri A.Ş.;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2024
Banksoft Bilişim Bilgisayar Hizmetleri A.Ş.;Kocaeli;Yazılım Geliştirme Uzmanı;İş Yerinde;2023
KRİSTAL ENDÜSTRİYEL MUTFAK ÇAMAŞIRHANE MAKİNE PAZ.;İstanbul;Full Stack - Masaüstü Yazılım Geliştirme Uzmanı;İş Yerinde;2022
SELİN GÜN AY BİLİŞİM DANIŞMANLIĞI;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2024
International Plus Health Tourism;Kocaeli;Yazılım Geliştirme Uzmanı (Mühendis);İş Yerinde;2021
FARBA OTOMOTİV ANONİM ŞİRKETİ;Bursa;PHP Developer;İş Yerinde;2023
Gözen Digital Aviation;İstanbul;Yazılım Geliştirme Uzmanı;Uzaktan / Remote;2024
Sahibinden.com;Denizli;Dynamics Axapta Yazılım Geliştirme Uzmanı;İş Yerinde;2022
Eroğlu Holding;Ankara;Yazılım Geliştirme Uzmanı - Frontend;İş Yerinde;2021
Logo Yazılım San Ve Tic A.Ş.;İzmir;Yazılım Geliştirme Uzmanı;Hibrit;2023
B.E.K E-BİLGİ TEKNOLOJİ DANIŞMANLIK SAN.TİC.LTD.ŞT;Eskişehir;Yazılım Geliştirme Uzmanı (Ankara);Hibrit;2024
Randstad Türkiye;İstanbul;Yazılım Geliştirme Uzmanı;Uzaktan / Remote;2022
PALADYUM ELEKTRONİK PARA VE ÖDEME HİZMETLERİ AŞ.;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2024
YAVUZÇEHRE TEKSTİL SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2021
İş Yazılım Donanım Elektronik LTD.ŞTİ;İstanbul;Yazılım Geliştirme Uzmanı;İş Yerinde;2021
Zübeyde Hanım Eğitim Kurumları;İstanbul;Canias ERP Uzmanı;İş Yerinde;2021
DÜNDARLAR MAKİNA SAN.TİC LTD ŞTİ.;Yalova;Java Developer;İş Yerinde;2024
Nevalabs Yazılım ve Bilişim Teknolojileri A.Ş.;Antalya;Java Yazılım Uzmanı;İş Yerinde;2021
DATA SİSTEM İŞE ALIM HİZMETLERİ LİMİTED ŞİRKETİ;İstanbul;Java Yazılım Uzmanı;İş Yerinde;2023
Omuz Omuza Engelsiz İnsan Kaynakları;İstanbul;Java Developer;Uzaktan / Remote;2023
Gizli Firma;İstanbul;Java Yazılım Uzmanı Dış Kaynak;İş Yerinde;2022
COMPUGROUP MEDICAL BİLGİ SİSTEMLERİ A.Ş.;Ankara;Yazılım Sorumlusu;İş Yerinde;2021
MODERA BİLİŞİM VE DANIŞMANLIK LTD ŞTİ;İstanbul;Yazılım Sorumlusu;Hibrit;2021
BEŞİKTAŞ TERSANE A.Ş.;İstanbul;Yazılım Geliştirme Danışmanı;İş Yerinde;2021
ATP Gıda Ticaret AŞ;Kocaeli;Yazılım Geliştirme Danışmanı;İş Yerinde;2023
LOGO YAZILIM SAN.VE TİC.A.Ş.;İstanbul;International Operations Software Developer;Hibrit;2024
Logo Yazılım San Ve Tic A.Ş.;İzmir;Yazılım Geliştirme Danışmanı;Hibrit;2023
WeHire;İstanbul;DevOps Uzmanı;Hibrit;2022
Demirören Medya Grubu;İstanbul;Frontend Developer;Hibrit;2022
ATHENA BİLİŞİM ÇÖZÜMLERİ ANONİM ŞİRKETİ;İstanbul;Oracle Uygulamaları Danışmanı;Hibrit;2021
Turpak Elektromanyetik Yakıt İkmal Sis.Tic.A.Ş.;İstanbul;.Net Yazılım Uzmanı;İş Yerinde;2022
Omuz Omuza Engelsiz İnsan Kaynakları;İstanbul;Mid Level .Net Developer;Uzaktan / Remote;2023
TEPRO MAKİNA VE OTOMASYON SİSTEMLERİ SAN.VE TİC.A.Ş.;İstanbul;Senior .Net Developer;Hibrit;2023
Manpower;Trabzon;Yazılım Teknik Destek Uzmanı;Hibrit;2023
Propos Yazılım, Barkod ve Güvenlik Sistemleri;İstanbul;Yazılım Uzman Yardımcısı;İş Yerinde;2023
BİLİN YAZILIM VE BİLİŞİM DANIŞMANLIĞI A.Ş.;İstanbul;PHP Yazılım Uzmanı;Hibrit;2024
Moda Selvim;İstanbul;PHP Yazılım Uzmanı;İş Yerinde;2022
ATA TEKNİK ENDÜSTRİYEL TEKNOLOJİLER SANAYİTİCARET LİMİTED ŞİRKETİ;İstanbul;Yazılım Yönetmeni(Winforms);İş Yerinde;2024
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;Bursa;E&E Araç Yazılım Mühendisliği Yöneticisi;Hibrit;2023
Karsan;Kocaeli;Laravel/Php Yazılım Geliştirme Uzmanı;İş Yerinde;2021
BULUT İNTERNET YAZILIM LİMİTED ŞİRKETİ;Ankara;Kıdemli PHP Yazılım Geliştirme Uzmanı;İş Yerinde;2023
Fernus Eğitim Teknolojileri A.Ş;İzmir;Machine Learning Bootcamp + Datathon;İş Yerinde;2024
YAŞAR BİLGİ İŞLEM VE TİCARET A.Ş.;İstanbul;Unity With C# Bootcamp;İş Yerinde;2022
techcareer.net;İstanbul;Back-End With C# Bootcamp;Uzaktan / Remote;2024
techcareer.net;İstanbul;Ödüllü League Of Legends 1. Lig Turnuvası;Uzaktan / Remote;2024
techcareer.net;İstanbul;Disaster Puls Hackathon;Uzaktan / Remote;2022
techcareer.net;İstanbul;C++ Bootcamp;Uzaktan / Remote;2021
techcareer.net;İstanbul;PHP Yazılım Geliştirme Uzmanı;Uzaktan / Remote;2024
techcareer.net;İstanbul;Kıdemli Yazılım Uzmanı;Uzaktan / Remote;2023
ROKO GAME TEKNOLOJİ ANONİM ŞİRKETİ;İstanbul;Senior Software Developer;İş Yerinde;2023
Koton;İzmir;Yazılım Kıdemli Uzmanı;Hibrit;2021
CRONOM BİLİŞİM VE YAZILIM TEKNOLOJİLERİ SAN.VE TİC. LTD. ŞTİ.;İstanbul;Senior Frontend Developer;Hibrit;2022
Unico Sigorta A.Ş.;İstanbul;Kıdemli Yazılım Uzmanı;Hibrit;2024
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;Kıdemli Yazılım Uzmanı;Uzaktan / Remote;2022
TECHNE BİLİŞİM VE TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;Kıdemli Yazılım Uzmanı;Hibrit;2023
MUDO;İstanbul;Senior Developer;Hibrit;2022
IUC HAGED;İstanbul;Yazılım Uzmanı/İzmir;İş Yerinde;2024
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;Ankara;Kıdemli Yazılım Geliştirme Uzmanı;İş Yerinde;2021
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;Girne;Kıdemli Yazılım Geliştirme Uzmanı, .Net;İş Yerinde;2023
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Kıdemli Yazılım Geliştirme Uzmanı;Hibrit;2022
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Kıdemli Yazılım Geliştirme Uzmanı;Hibrit;2024
Yurtiçi Kargo Servisi A.Ş.;İstanbul;Kıdemli Yazılım Geliştirme Uzmanı;İş Yerinde;2022
Bitviva Teknoloji A.S;İzmir;Kıdemli Yazılım Geliştirme Uzmanı;Hibrit;2021
A&T BANK;İstanbul;Kıdemli Yazılım Geliştirme Uzmanı;Hibrit;2023
Speksa Bilişim Hizmetleri Ltd.Şti.;İstanbul;Kıdemli ASP.NET Yazılım Uzmanı;Uzaktan / Remote;2024
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Takım Lideri(Winforms);Hibrit;2024
ÜMİT AYDIN;Antalya;Yazılım Takım Lideri;İş Yerinde;2023
Austria Card Turkey Kart Operasyonları A.Ş.;İstanbul;IT Senior Specialist;İş Yerinde;2023
Smile Hair Clinic;İstanbul;IT Güvenlik Uzmanı;İş Yerinde;2023
Gizli Firma;Hatay;Bilgisayar Mühendisi;İş Yerinde;2024
KARACASU TEKSTİL TİCARET VE SAN.ANONİM ŞİRKETİ;Kahramanmaraş;Bilgisayar Mühendisi;İş Yerinde;2022
Acme Holding;İstanbul;Bilgisayar Mühendisi;İş Yerinde;2022
FİNEO DİJİTAL DÖNÜŞÜM ANONİM ŞİRKETİ;Sivas;Bilgisayar Mühendisi;İş Yerinde;2022
HAT İNDÜKSİYON ELEKTRİK ELEKTRONİK İTHALAT İHRACAT SAN. TİC. A.Ş.;Manisa;Bilgisayar Mühendisi;İş Yerinde;2021
Sistaş Sayısal İletişim San. ve Tic. A.Ş.;İstanbul;Yazılım ve Sistem Mühendisleri;İş Yerinde;2022
Türkiye Finans Katılım Bankası;İstanbul;Yazılım Altyapı Geliştirme Kıdemli Yazılımcı;Hibrit;2021
VeriPark;İstanbul;Software Development Team Lead;Uzaktan / Remote;2023
G Teknoloji Bilişim San. ve Tic. A.Ş.;İstanbul;GTech Büyük Veri ve Analitik Akademisi;Uzaktan / Remote;2021
DIGITURK;İstanbul;Data Engineer;İş Yerinde;2024
Omuz Omuza Engelsiz İnsan Kaynakları;İstanbul;Yazılım Test Mühendisi(Manuel Test/Test Otomasyon);İş Yerinde;2021
ES KARİYER DANIŞMANLIK;Ankara;Test Mühendisi;İş Yerinde;2022
ICterra Bilgi ve İletişim Teknolojileri San. ve Tic. A.Ş.;İstanbul;Yazılım Test Mühendisi;Hibrit;2024
Koç Bilgi ve Savunma Teknolojileri;Ankara;Yazılım Test Mühendisi;İş Yerinde;2024
MİSYON YATIRIM BANKASI ANONİM ŞİRKETİ;Ankara;Yazılım Test Mühendisi;İş Yerinde;2023
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;İstanbul;Yazılım Test Mühendisi;İş Yerinde;2023
